ID_Cliente,Fecha_Registro,Plan,Ingreso_Mensual_MXN,Estatus,Fecha_Cancelacion,Pais
CUST-10122,2024-02-03,Basico,500.0,Cancelado,2024-06-23,Mexico
CUST-10123,2024-01-27,Basico,500.0,Activo,,Chile
CUST-10124,2025-01-12,Basico,500.0,activo ,,Colombia
CUST-10125,29/05/2025,Basico,500.0,Activo,,Peru
CUST-10126,2023-11-25,Basico,500.0,Activo,,Chile
CUST-10127,2023-08-18,Pro,1200.0,Activo,,Argentina
CUST-10128,2024-10-28,Basico,500.0,Activo,,Peru
CUST-10129,2023-11-18,Basico,500.0,Activo,,Colombia
CUST-10130,2024-12-20,Basico,500.0,Activo,,Chile
CUST-10131,2024-08-04,Pro,1200.0,Activo,,Peru
CUST-10132,2024-12-12,Basico,500.0,Activo,,Chile
CUST-10133,2023-09-28,Enterprise,3500.0,Activo,,Mexico
CUST-10134,2023-12-16,Pro,1200.0,Cancelado,2024-03-18,Argentina
CUST-10135,2024-11-19,Basico,500.0,Activo,,Chile
CUST-10136,2023-08-23,Basico,500.0,Activo,,Peru
CUST-10137,2023-10-14,Basico,500.0,Activo,,Peru
CUST-10138,2024-12-10,Basico,500.0,Activo,,Chile
CUST-10139,2024-02-26,Pro,1200.0,Cacnelado,,Colombia
CUST-10140,20/05/2024,Basico,,Activo,,Argentina
CUST-10141,2025-07-10,Basico,500.0,Cancelado,2025-08-24,Mexico
CUST-10142,2024-02-23,Basico,,Activo,,Colombia
CUST-10143,2023-05-28,Pro,1200.0,Cacnelado,,Mexico
CUST-10144,2025-01-18,Basico,500.0,Activo,,Peru
CUST-10145,2025-06-20,Basico,500.0,Activo,,Peru
CUST-10146,2024-12-11,Basico,500.0,Activo,,Chile
CUST-10147,2024-03-01,Basico,500.0,Activo,,Argentina
CUST-10148,2024-03-21,Basico,500.0,Activo,,Argentina
CUST-10149,2024-06-25,Basico,500.0,Activo,,Peru
CUST-10150,2025-04-10,Basico,500.0,cancelado,2025-07-27,Argentina
CUST-10151,2025-02-20,Basico,500.0,Activo,,Peru
CUST-10152,08/11/2023,Basico,500.0,Activo,,Colombia
CUST-10153,06/11/2023,Basico,500.0,Activo,,Chile
CUST-10154,2024-06-03,Pro,1200.0,Cancelado,2024-07-07,Chile
CUST-10155,2023-10-12,Basico,500.0,Activo,,Argentina
CUST-10156,08/03/2024,Basico,500.0,Activo,,Argentina
CUST-10157,2024-09-24,Basico,500.0,Activo,,Colombia
CUST-10158,2023-10-10,Pro,1200.0,Activo,,Argentina
CUST-10159,2023-12-07,Enterprise,3500.0,Activo,,Mexico
CUST-10160,2025-02-27,Basico,500.0,cancelado,,Chile
CUST-10161,2024-07-20,Enterprise,3500.0,Activo,,Colombia
CUST-10162,26/02/2024,Pro,1200.0,Cancelado,2024-09-11,Mexico
CUST-10163,2025-06-04,Basico,500.0,Activo,,Chile
CUST-10164,2025-01-12,Pro,1200.0,Activo,,Mexico
CUST-10165,2023-08-13,Basico,500.0,Activo,,Peru
CUST-10166,2025-04-13,Basico,500.0,Activo,,Argentina
CUST-10167,2024-07-29,Enterprise,3500.0,Activo,,Mexico
CUST-10168,2023-12-03,Pro,1200.0,Activo,,Colombia
CUST-10169,2023-09-27,Basico,500.0,Activo,,Chile
CUST-10170,2024-06-13,Basico,500.0,Activo,,Colombia
CUST-10171,2024-09-22,Pro,1200.0,Activo,,Mexico
CUST-10172,2024-04-14,Basico,500.0,Cancelado,2024-10-25,Peru
CUST-10173,2025-02-19,Basico,500.0,Activo,,Chile
CUST-10174,2025-02-22,Enterprise,3500.0,Activo,,Colombia
CUST-10175,2025-06-21,Pro,1200.0,Activo,,Colombia
CUST-10176,2023-08-25,Basico,500.0,Activo,,Argentina
CUST-10177,2023-06-25,Basico,500.0,Activo,,Mexico
CUST-10178,2023-12-22,Pro,1200.0,Activo,,Mexico
CUST-10179,2023-10-10,Enterprise,3500.0,Cancelado,2024-05-08,Argentina
CUST-10180,24/07/2025,Basico,500.0,Activo,,Chile
CUST-10181,2025-04-15,Basico,500.0,Activo,,Colombia
CUST-10182,2025-04-28,Basico,500.0,Activo,,Colombia
CUST-10183,2025-07-03,Pro,1200.0,Activo,,Mexico
CUST-10184,2023-06-12,Enterprise,3500.0,Activo,,Argentina
CUST-10185,2024-08-08,Pro,1200.0,Cancelado,2025-01-18,Mexico
CUST-10186,2024-02-09,Basico,500.0,Activo,,Chile
CUST-10187,2024-10-03,Basico,500.0,Cacnelado,,Colombia
CUST-10188,2024-03-29,Pro,1200.0,Activo,,Chile
CUST-10189,2023-09-12,Pro,1200.0,Activo,,Colombia
CUST-10190,2024-02-11,Pro,1200.0,Activo,,Peru
CUST-10191,2025-01-07,Basico,500.0,Cancelado,2025-03-29,Chile
CUST-10192,2024-02-26,Basico,500.0,Activo,,Peru
CUST-10193,2024-10-18,Basico,500.0,Activo,,Colombia
CUST-10194,2025-02-14,Basico,500.0,Activo,,Chile
CUST-10195,2023-10-31,Basico,500.0,Activo,,Chile
CUST-10196,2024-12-15,Basico,500.0,Activo,,Colombia
CUST-10197,2025-02-08,Pro,1200.0,Activo,,Colombia
CUST-10198,2025-01-04,Pro,1200.0,Activo,,Argentina
CUST-10199,2023-08-12,Basico,500.0,Activo,,Colombia
CUST-10200,2025-03-19,Basico,500.0,Activo,,Colombia
CUST-10201,2024-08-20,Pro,1200.0,Activo,,Peru
CUST-10202,2025-02-10,Pro,1200.0,Activo,,Chile
CUST-10203,2023-08-23,Pro,1200.0,Cancelado,2024-02-18,Mexico
CUST-10204,2024-05-14,Pro,1200.0,Activo,,Peru
CUST-10205,2023-10-07,Pro,1200.0,cancelado,,Colombia
CUST-10206,2024-02-14,Pro,1200.0,Activo,,Argentina
CUST-10207,2024-09-01,Basico,500.0,Cancelado,2024-11-05,Colombia
CUST-10208,2023-06-07,Pro,1200.0,Cancelado,2023-09-20,Chile
CUST-10209,2024-04-20,Basico,500.0,cancelado,,Mexico
CUST-10210,2025-01-01,Basico,500.0,Activo,,Argentina
CUST-10211,2025-01-11,Pro,1200.0,Activo,,Chile
CUST-10212,2024-06-19,Basico,500.0,Cancelado,2024-12-07,Chile
CUST-10213,2023-07-04,Pro,1200.0,Activo,,Argentina
CUST-10214,02/07/2025,Basico,500.0,Activo,,Colombia
CUST-10215,2024-09-11,Pro,1200.0,Activo,,Chile
CUST-10216,17/07/2024,Pro,1200.0,Activo,,Peru
CUST-10217,2023-06-01,Enterprise,3500.0,activo ,,Mexico
CUST-10218,2024-07-07,Pro,1200.0,Activo,,Chile
CUST-10219,2025-02-06,Pro,1200.0,Activo,,Mexico
CUST-10220,2024-06-30,Pro,1200.0,Cancelado,2025-02-25,Argentina
CUST-10221,2024-09-02,Pro,1200.0,Activo,,Peru
CUST-10222,2023-05-19,Basico,500.0,Cancelado,2023-08-01,Peru
CUST-10223,2024-02-09,Pro,1200.0,Activo,,Chile
CUST-10224,2024-05-18,Basico,500.0,Activo,,Chile
CUST-10225,30/10/2023,Basico,500.0,Cancelado,2024-08-31,Mexico
CUST-10226,25/02/2024,Pro,1200.0,Activo,,Mexico
CUST-10227,2023-11-07,Basico,500.0,Activo,,Peru
CUST-10228,2023-05-28,Basico,500.0,Activo,,Mexico
CUST-10229,2024-05-19,Basico,500.0,Activo,,Mexico
CUST-10230,2024-11-04,Basico,500.0,Activo,,Colombia
CUST-10231,2024-07-14,Basico,500.0,Cancelado,2024-09-04,Mexico
CUST-10232,2025-05-25,Pro,1200.0,Activo,,Mexico
CUST-10233,2024-04-08,Basico,500.0,Activo,,Argentina
CUST-10234,2023-06-04,Basico,500.0,Activo,,Mexico
CUST-10235,2024-02-02,Basico,500.0,Activo,,Chile
CUST-10236,12/06/2025,Enterprise,3500.0,Activo,,Argentina
CUST-10237,2025-05-24,Basico,500.0,Activo,,Peru
CUST-10238,2024-09-27,Basico,500.0,Activo,,Argentina
CUST-10239,2024-06-25,Enterprise,3500.0,Activo,,Chile
CUST-10240,2024-11-07,Basico,500.0,Activo,,Chile
CUST-10241,21/05/2023,Enterprise,3500.0,Activo,,Argentina
CUST-10242,2024-12-01,Basico,500.0,Cancelado,2025-04-25,Colombia
CUST-10243,2024-04-30,Pro,1200.0,Activo,,Peru
CUST-10244,2024-08-25,Basico,500.0,Activo,,Peru
CUST-10245,2024-10-03,Enterprise,3500.0,Cancelado,2024-11-18,Mexico
CUST-10246,2024-01-22,Pro,1200.0,Activo,,Colombia
CUST-10247,2024-09-24,Basico,500.0,Activo,,Peru
CUST-10248,12/10/2024,Basico,500.0,Activo,,Peru
CUST-10249,28/09/2023,Basico,500.0,Cancelado,2024-08-17,Argentina
CUST-10250,2023-12-24,Enterprise,3500.0,Activo,,Mexico
CUST-10251,2025-02-28,Basico,500.0,Activo,,Peru
CUST-10252,2023-08-10,Enterprise,3500.0,Activo,,Argentina
CUST-10253,2023-07-13,Basico,500.0,Activo,,Chile
CUST-10254,2025-02-16,Enterprise,3500.0,Activo,,Colombia
CUST-10255,2025-03-16,Basico,500.0,Activo,,Peru
CUST-10256,2025-03-08,Pro,1200.0,Activo,,Argentina
CUST-10257,2024-06-26,Basico,500.0,Activo,,Argentina
CUST-10258,2024-10-14,Basico,500.0,activo ,,Colombia
CUST-10259,2023-06-05,Pro,1200.0,Cancelado,2024-03-29,Colombia
CUST-10260,2024-01-09,Pro,1200.0,Activo,,Colombia
CUST-10261,2023-12-01,Basico,500.0,Activo,,Peru
CUST-10262,2024-05-27,Basico,500.0,Activo,,Colombia
CUST-10263,2023-06-24,Pro,1200.0,Activo,,Peru
CUST-10264,2024-12-15,Basico,500.0,Activo,,Peru
CUST-10265,2024-07-15,Basico,500.0,Activo,,Argentina
CUST-10266,2024-10-27,Pro,1200.0,Activo,,Peru
CUST-10267,2024-07-09,Pro,1200.0,Activo,,Argentina
CUST-10268,13/07/2025,Pro,1200.0,Activo,,Peru
CUST-10269,2023-08-04,Basico,500.0,Activo,,Peru
CUST-10270,2025-03-04,Pro,1200.0,Activo,,Peru
CUST-10271,2023-11-28,Basico,500.0,Activo,,Mexico
CUST-10272,2024-10-14,Basico,500.0,Cancelado,2025-02-21,Argentina
CUST-10273,2024-12-04,Basico,500.0,activo ,,Mexico
CUST-10274,2023-09-12,Pro,1200.0,Activo,,Argentina
CUST-10275,2023-10-08,Pro,1200.0,Activo,,Chile
CUST-10276,2024-02-04,Basico,500.0,Activo,,Argentina
CUST-10277,2024-10-06,Pro,1200.0,Activo,,Peru
CUST-10278,2024-09-09,Basico,500.0,Cancelado,2025-07-06,Colombia
CUST-10279,2025-04-06,Pro,1200.0,Activo,,Colombia
CUST-10280,2024-02-23,Pro,1200.0,Activo,,Argentina
CUST-10281,2024-09-18,Basico,500.0,Cacnelado,,Colombia
CUST-10282,2023-07-09,Basico,500.0,Activo,,Mexico
CUST-10283,2024-11-26,Basico,500.0,Cancelado,2025-11-18,Argentina
CUST-10284,2023-10-04,Pro,1200.0,Activo,,Chile
CUST-10285,2024-05-24,Basico,500.0,Activo,,Colombia
CUST-10286,2024-08-05,Basico,500.0,Cancelado,2025-03-15,Chile
CUST-10287,2025-03-08,Pro,1200.0,Activo,,Colombia
CUST-10288,2024-08-08,Pro,1200.0,Activo,,Argentina
CUST-10289,2023-07-02,Basico,500.0,Activo,,Mexico
CUST-10290,2024-11-19,Basico,500.0,Cancelado,2025-10-31,Colombia
CUST-10291,2024-03-12,Pro,1200.0,Activo,,Colombia
CUST-10292,2023-09-07,Pro,1200.0,Activo,,Peru
CUST-10293,2024-10-28,Pro,1200.0,Activo,,Mexico
CUST-10294,2023-11-12,Basico,500.0,Activo,,Mexico
CUST-10295,2024-12-03,Enterprise,3500.0,Cancelado,2025-04-14,Mexico
CUST-10296,2023-06-25,Basico,500.0,Activo,,Peru
CUST-10297,2024-07-10,Pro,1200.0,Activo,,Chile
CUST-10298,2024-01-19,Basico,500.0,Activo,,Peru
CUST-10299,2024-07-17,Pro,1200.0,Activo,,Argentina
CUST-10300,2024-01-26,Basico,500.0,Activo,,Chile
CUST-10301,2025-04-23,Basico,500.0,Cancelado,2025-10-27,Colombia
CUST-10302,2024-10-26,Basico,500.0,Activo,,Chile
CUST-10303,2024-02-28,Pro,1200.0,Cancelado,2024-06-18,Mexico
CUST-10304,2024-09-06,Pro,1200.0,Activo,,Peru
CUST-10305,2025-05-24,Basico,500.0,Activo,,Chile
CUST-10306,2025-03-07,Pro,1200.0,Activo,,Argentina
CUST-10307,2024-09-28,Basico,500.0,Activo,,Chile
CUST-10308,2024-09-22,Basico,500.0,Cancelado,2025-03-20,Colombia
CUST-10309,2023-10-16,Basico,500.0,Activo,,Peru
CUST-10310,2024-11-28,Pro,1200.0,Activo,,Argentina
CUST-10311,2024-06-20,Pro,1200.0,Activo,,Argentina
CUST-10312,06/04/2024,Enterprise,3500.0,Activo,,Argentina
CUST-10313,2024-04-10,Basico,500.0,Activo,,Peru
CUST-10314,2025-04-21,Pro,1200.0,Cancelado,2026-03-02,Argentina
CUST-10315,2025-03-15,Pro,1200.0,Activo,,Colombia
CUST-10316,2023-08-30,Basico,500.0,Activo,,Chile
CUST-10317,2023-08-07,Basico,500.0,Activo,,Colombia
CUST-10318,2025-06-03,Pro,1200.0,Activo,,Peru
CUST-10319,2025-06-28,Basico,500.0,Activo,,Argentina
CUST-10320,2024-08-24,Enterprise,3500.0,Activo,,Colombia
CUST-10321,2025-03-28,Basico,500.0,Activo,,Chile
CUST-10322,2024-12-05,Enterprise,3500.0,Cancelado,2025-01-26,Colombia
CUST-10323,2025-04-03,Basico,500.0,Activo,,Chile
CUST-10324,2024-11-26,Basico,500.0,Actvo,,Argentina
CUST-10325,2023-08-02,Pro,1200.0,Activo,,Chile
CUST-10326,2024-06-10,Basico,500.0,Activo,,Peru
CUST-10327,2025-05-27,Basico,500.0,Activo,,Chile
CUST-10328,2024-10-28,Basico,500.0,Activo,,Peru
CUST-10329,2025-05-13,Basico,500.0,Activo,,Mexico
CUST-10330,2024-01-30,Basico,500.0,Activo,,Peru
CUST-10331,2024-06-15,Basico,,Activo,,Colombia
CUST-10332,01/04/2024,Basico,500.0,Activo,,Mexico
CUST-10333,2023-06-10,Pro,1200.0,Activo,,Colombia
CUST-10334,2023-07-13,Basico,500.0,Activo,,Chile
CUST-10335,2023-06-02,Basico,,Cancelado,2024-04-10,Mexico
CUST-10336,2025-07-03,Pro,1200.0,Activo,,Mexico
CUST-10337,2024-11-12,Basico,500.0,Activo,,Peru
CUST-10338,2024-12-28,Pro,1200.0,Activo,,Chile
CUST-10339,2024-03-27,Basico,500.0,Activo,,Mexico
CUST-10340,2023-10-11,Basico,500.0,Activo,,Colombia
CUST-10341,2024-02-09,Pro,1200.0,Cancelado,2024-05-23,Peru
CUST-10342,2023-06-05,Pro,1200.0,Activo,,Chile
CUST-10343,2023-11-11,Basico,500.0,Cancelado,2024-03-10,Colombia
CUST-10344,2024-04-26,Basico,500.0,Activo,,Mexico
CUST-10345,2024-01-18,Basico,500.0,Activo,,Chile
CUST-10346,18/03/2025,Basico,500.0,Activo,,Argentina
CUST-10347,2024-07-02,Pro,1200.0,Activo,,Colombia
CUST-10348,2023-07-04,Pro,1200.0,Activo,,Peru
CUST-10349,2024-04-25,Enterprise,,Activo,,Chile
CUST-10350,2024-08-19,Basico,,Cancelado,2025-07-30,Argentina
CUST-10351,2024-08-01,Basico,500.0,Activo,,Argentina
CUST-10352,2025-06-25,Basico,500.0,Activo,,Argentina
CUST-10353,2023-07-16,Basico,500.0,Cancelado,2023-10-30,Chile
CUST-10354,2025-02-18,Basico,500.0,Activo,,Colombia
CUST-10355,07/06/2025,Pro,1200.0,Activo,,Colombia
CUST-10356,2025-04-11,Basico,500.0,Activo,,Argentina
CUST-10357,2023-07-10,Enterprise,3500.0,Activo,,Chile
CUST-10358,2025-07-14,Basico,500.0,activo ,,Mexico
CUST-10359,2023-07-11,Pro,1200.0,Cancelado,2023-09-03,Peru
CUST-10360,2025-04-12,Basico,500.0,Activo,,Argentina
CUST-10361,2024-04-29,Enterprise,3500.0,Activo,,Peru
CUST-10362,21/08/2023,Basico,500.0,Activo,,Colombia
CUST-10363,2023-12-25,Enterprise,3500.0,Activo,,Argentina
CUST-10364,2024-07-15,Basico,500.0,Cancelado,2025-04-19,Chile
CUST-10365,05/07/2024,Pro,1200.0,Activo,,Mexico
CUST-10366,2024-07-29,Pro,1200.0,Activo,,Argentina
CUST-10367,2024-01-10,Pro,1200.0,Activo,,Colombia
CUST-10368,2024-04-20,Pro,1200.0,Activo,,Peru
CUST-10369,2024-05-21,Basico,500.0,Cancelado,2025-03-11,Peru
CUST-10370,2024-12-02,Pro,1200.0,Activo,,Chile
CUST-10371,2025-01-29,Basico,500.0,Activo,,Chile
CUST-10372,2024-02-19,Basico,500.0,Activo,,Colombia
CUST-10373,2023-08-24,Pro,1200.0,Activo,,Colombia
CUST-10374,2024-05-17,Basico,500.0,Activo,,Argentina
CUST-10375,2023-06-21,Basico,500.0,Activo,,Mexico
CUST-10376,2023-09-20,Enterprise,3500.0,activo ,2024-04-05,Colombia
CUST-10377,2025-01-09,Basico,500.0,Activo,,Argentina
CUST-10378,2023-09-22,Basico,500.0,Cacnelado,,Peru
CUST-10379,2024-01-03,Pro,1200.0,Activo,,Mexico
CUST-10380,2024-11-17,Basico,500.0,Activo,,Peru
CUST-10381,18/04/2025,Basico,500.0,Activo,,Chile
CUST-10382,2024-12-24,Pro,1200.0,Activo,,Argentina
CUST-10383,2025-03-22,Basico,500.0,Activo,,Peru
CUST-10384,2023-11-14,Pro,1200.0,Activo,,Peru
CUST-10385,2024-10-28,Basico,500.0,Cancelado,2025-07-21,Argentina
CUST-10386,2024-08-07,Pro,1200.0,Activo,,Colombia
CUST-10387,2023-12-22,Basico,500.0,Cancelado,2024-11-21,Peru
CUST-10388,2023-09-16,Basico,500.0,Activo,,Colombia
CUST-10389,18/04/2024,Basico,,Activo,,Chile
CUST-10390,2025-05-31,Basico,500.0,Activo,,Colombia
CUST-10391,2024-08-15,Basico,500.0,Activo,,Argentina
CUST-10392,2023-10-04,Enterprise,3500.0,Activo,,Chile
CUST-10393,2023-06-16,Basico,500.0,activo ,,Peru
CUST-10394,2024-09-30,Pro,1200.0,Cacnelado,,Peru
CUST-10395,2024-12-23,Basico,500.0,Activo,,Mexico
CUST-10396,30/09/2023,Basico,500.0,Activo,,Mexico
CUST-10397,2023-11-14,Basico,500.0,Activo,,Colombia
CUST-10398,2024-06-14,Basico,500.0,Cancelado,2025-05-17,Mexico
CUST-10399,2024-05-07,Basico,500.0,Activo,,Peru
CUST-10400,09/07/2024,Basico,500.0,Activo,,Colombia
CUST-10401,2025-02-27,Pro,1200.0,Activo,,Colombia
CUST-10402,2024-07-18,Basico,500.0,Activo,,Colombia
CUST-10403,2024-04-26,Pro,,Activo,,Peru
CUST-10404,2024-03-15,Pro,1200.0,Activo,,Chile
CUST-10405,2023-11-05,Pro,1200.0,Cancelado,2024-06-09,Argentina
CUST-10406,2023-10-29,Pro,1200.0,Activo,,Chile
CUST-10407,2025-06-04,Basico,500.0,Activo,,Colombia
CUST-10408,2025-01-03,Basico,500.0,Activo,,Peru
CUST-10409,2023-09-04,Enterprise,3500.0,Activo,,Chile
CUST-10410,2023-11-14,Enterprise,3500.0,Cancelado,2024-05-31,Colombia
CUST-10411,2025-04-13,Basico,500.0,Activo,,Mexico
CUST-10412,2025-07-23,Basico,500.0,Activo,,Mexico
CUST-10413,2024-01-09,Basico,500.0,Activo,,Mexico
